,0.05,0.25,0.5,1.0,2.0
1,206,nan,nan,371,19
2,nan,nan,46,43,nan
3,256,nan,nan,18,9
4,367,97,nan,17,11
5,294,nan,60,27,nan
6,nan,nan,nan,nan,11
7,nan,159,nan,29,nan
8,nan,nan,nan,nan,nan
9,453,63,nan,26,23
10,nan,nan,24,nan,nan
